file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
wisdom/wisdom-02.md,wisdom-02,24,24,24,0
wisdom/wisdom-16.md,wisdom-16,29,29,29,0
wisdom/wisdom-06.md,wisdom-06,25,25,25,0
wisdom/wisdom-17.md,wisdom-17,21,21,21,0
wisdom/wisdom-07.md,wisdom-07,29,29,29,0
wisdom/wisdom-13.md,wisdom-13,19,19,19,0
wisdom/wisdom-03.md,wisdom-03,19,19,19,0
wisdom/wisdom-14.md,wisdom-14,31,31,31,0
wisdom/wisdom-04.md,wisdom-04,19,19,19,0
wisdom/wisdom-10.md,wisdom-10,21,21,21,0
