file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
2-samuel/2-samuel-03.md,2-samuel-03,39,39,39,0
2-samuel/2-samuel-18.md,2-samuel-18,32,32,32,0
2-samuel/2-samuel-08.md,2-samuel-08,18,18,18,0
2-samuel/2-samuel-19.md,2-samuel-19,43,43,43,0
2-samuel/2-samuel-09.md,2-samuel-09,13,13,13,0
2-samuel/2-samuel-14.md,2-samuel-14,33,33,33,0
2-samuel/2-samuel-20.md,2-samuel-20,26,26,26,0
2-samuel/2-samuel-04.md,2-samuel-04,12,12,12,0
2-samuel/2-samuel-24.md,2-samuel-24,23,23,23,0
2-samuel/2-samuel-10.md,2-samuel-10,19,19,19,0
2-samuel/2-samuel-11.md,2-samuel-11,27,27,27,0
2-samuel/2-samuel-01.md,2-samuel-01,27,27,27,0
2-samuel/2-samuel-15.md,2-samuel-15,37,37,37,0
2-samuel/2-samuel-21.md,2-samuel-21,22,22,22,0
2-samuel/2-samuel-05.md,2-samuel-05,25,25,25,0
amos/amos-03.md,amos-03,15,15,15,0
amos/amos-07.md,amos-07,17,17,17,0
amos/amos-06.md,amos-06,14,14,14,0
amos/amos-02.md,amos-02,16,16,16,0
amos/amos-09.md,amos-09,15,15,15,0
amos/amos-08.md,amos-08,14,14,14,0
amos/amos-05.md,amos-05,27,27,27,0
amos/amos-01.md,amos-01,15,15,15,0
amos/amos-04.md,amos-04,13,13,13,0
galatians/galatians-01.md,galatians-01,24,24,24,0
galatians/galatians-05.md,galatians-05,26,26,26,0
galatians/galatians-04.md,galatians-04,31,31,31,0
galatians/galatians-03.md,galatians-03,28,28,28,0
galatians/galatians-02.md,galatians-02,21,21,21,0
galatians/galatians-06.md,galatians-06,17,17,17,0
judith/judith-10.md,judith-10,23,23,23,0
judith/judith-14.md,judith-14,19,19,19,0
judith/judith-04.md,judith-04,15,15,15,0
judith/judith-15.md,judith-15,14,14,14,0
judith/judith-05.md,judith-05,24,24,24,0
judith/judith-11.md,judith-11,23,23,23,0
judith/judith-01.md,judith-01,16,16,16,0
judith/judith-16.md,judith-16,25,25,25,0
judith/judith-06.md,judith-06,21,21,21,0
judith/judith-12.md,judith-12,20,20,20,0
judith/judith-02.md,judith-02,28,28,28,0
judith/judith-13.md,judith-13,20,20,20,0
judith/judith-03.md,judith-03,10,10,10,0
judith/judith-07.md,judith-07,32,32,32,0
judith/judith-08.md,judith-08,36,36,36,0
judith/judith-09.md,judith-09,14,14,14,0
deuteronomy/deuteronomy-23.md,deuteronomy-23,26,26,26,0
